site,location,region,species,life_stage,temporal_group,season,year,N,num_infected,num_infected_discrete,mean_natural_with_zeros,var_natural_with_zeros,mean_natural_without_zeros,var_natural_without_zeros,mean_log10_without_zeros,var_log10_without_zeros,mean_discrete_ceiling_with_zeros,var_discrete_ceiling_with_zeros,mean_discrete_floor_with_zeros,var_discrete_floor_with_zeros,nbd_k,nbd_mu,nbd_aic,pois_lam,pois_aic,gamma_aic,gamma_shape,gamma_rate,lnorm_aic,lnorm_meanlog,lnorm_sdlog,weibull_aic,weibull_shape,weibull_scale,exp_aic,exp_rate,norm_gof_pvalue_sw,norm_gof_statistic_sw,norm_gof_pvalue_ks,norm_gof_statistic_ks,norm_gof_pvalue_kslc,norm_gof_statistic_kslc,norm_gof_pvalue_ad,norm_gof_statistic_ad,poulin_D,poulin_D_log,cv_log,log_cv,cv,dataset
north_beach_pond,usa,vermont,rana_pipiens,adult,1,fall,1,18,5,5,22836.1780292156,5045870716.69131,82210.240905176,15343505530.2483,4.17628096987344,1.37707771232143,22836.3333333333,5045879629.76471,22836.0555555556,5045844703.82026,0.0255061787894487,22888.7345255432,147.763191371848,22836.3333333915,1716880.04688187,,,,,,,,,,,,,,,,,,,,0.641028517340511,0.138447333309618,0.280989127289716,0.178036376254412,1.50673326400756,serdp
farallon,panama,el_valle,rhaebo_haematiticus,adult,1,wet,1,58,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,panama
mata_ahogado,panama,el_valle,rhaebo_haematiticus,adult,1,wet,1,32,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,panama
bananal_f4,brazil,santa_virginia,boana_faber,larva,1,dry,1,12,1,1,22.3855644124366,6013.36192876017,268.626772949239,,2.42914929487281,,22.4166666666667,6030.08333333333,22.3333333333333,5985.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,brazil
camp_johnson_pond_2,usa,vermont,rana_clamitans,larva,1,fall,1,14,2,2,22.3041803514286,4120.19058379392,156.12926246,11774.4548528006,2.13345811083209,0.109167991348005,22.3571428571429,4130.09340659341,22.2142857142857,4088.95054945055,,,,,,,,,,,,,,,,,,,,,,,,,0.245720337273923,0.0547543397075977,0.154868659626537,-0.158013903746691,0.695002067047345,serdp
newt,usa,tennessee,rana_clamitans,larva,1,fall,1,11,2,2,42.0528784690909,11437.9522000955,231.29083158,26841.5149179169,2.30143509288504,0.114307108658502,42.1818181818182,11498.7636363636,42,11423,,,,,,,,,,,,,,,,,,,,,,,,,0.25043792723779,0.051938917662625,0.146905443546928,-0.149754905836386,0.708345426464578,serdp
japi_f5,brazil,santa_virginia,rhinella_ornata,larva,1,dry,1,20,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brazil
5CN1,usa,east_bay,TAGR,larva,1,summer,1,14,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
5CN2,usa,east_bay,TAGR,larva,1,summer,1,15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
5CN4,usa,east_bay,TAGR,larva,1,summer,1,15,1,1,47.1977106688889,33414.3583857622,707.965660033333,,2.85001219269016,,47.2,33417.6,47.1333333333333,33323.2666666667,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,east_bay
