site,location,region,species,life_stage,temporal_group,season,year,N,num_infected,num_infected_discrete,mean_natural_with_zeros,var_natural_with_zeros,mean_natural_without_zeros,var_natural_without_zeros,mean_log10_without_zeros,var_log10_without_zeros,mean_discrete_ceiling_with_zeros,var_discrete_ceiling_with_zeros,mean_discrete_floor_with_zeros,var_discrete_floor_with_zeros,nbd_k,nbd_mu,nbd_aic,pois_lam,pois_aic,gamma_aic,gamma_shape,gamma_rate,lnorm_aic,lnorm_meanlog,lnorm_sdlog,weibull_aic,weibull_shape,weibull_scale,exp_aic,exp_rate,norm_gof_pvalue_sw,norm_gof_statistic_sw,norm_gof_pvalue_ks,norm_gof_statistic_ks,norm_gof_pvalue_kslc,norm_gof_statistic_kslc,norm_gof_pvalue_ad,norm_gof_statistic_ad,poulin_D,poulin_D_log,cv_log,log_cv,cv,dataset,prev,phase,site_id
12230,Southern Sierra,california,ramu,larva,2,summer,2,10,10,10,298161.6,23643853849.6,298161.6,23643853849.6,5.4104126064668,0.0703178067787026,298161.6,23643853849.6,298161.6,23643853849.6,3.55097744852843,298187.324808953,269.805613768806,298161.599999971,753405.874939583,269.958583596855,4.17775189555535,1.40117033701032e-05,270.61722055197,12.4579354145975,0.579254747243119,269.366853366429,2.18889907492109,337545.721389234,274.107818007701,3.35388594641295e-06,0.361514785924508,0.920544042203308,0,1,0.6814,0.157803506982457,0.422899322455681,0.338190060683434,0.277886890867234,0.0258461542886006,0.0490119827454726,-0.287592577186293,0.51571222060535,sierra_nevada,1,"post-invasion
(Southern Sierra)",12230
12361,Southern Sierra,california,ramu,larva,2,summer,2,10,10,10,493593.6,72791303065.6,493593.6,72791303065.6,5.63196746923923,0.0616050013021122,493593.6,72791303065.6,493593.6,72791303065.6,3.69448796887635,493540.689423144,279.568877824663,493593.599999942,1306425.63359608,279.569098848856,3.71892171638195,7.53437993600799e-06,279.497378972737,12.9680843388977,0.542181792390448,279.895390517836,2.0739572979911,560322.190189319,284.189355710498,2.02595819718894e-06,0.737408802675687,0.955823821629474,0,1,0.7222,0.152633709741389,0.709358789224043,0.237466702745582,0.288437451377003,0.023745012349649,0.0440704868203149,-0.262329772979389,0.546600754733402,sierra_nevada,1,"post-invasion
(Southern Sierra)",12361
20278,Southern Sierra,california,ramu,larva,2,summer,2,18,9,9,140936,34523593886.1176,281872,28670985792,5.29672235281197,0.278724887241844,140936,34523593886.1176,140936,34523593886.1176,0.060037175280148,140802.946149885,294.274789944625,140936,4462985.08768689,,,,,,,,,,,,,,,,,,,,0.308498314969337,0.0426740232422286,0.0996737196846583,-0.22133062423831,0.60071624382751,sierra_nevada,0.5,"invasion
(Southern Sierra)",20278
70278,Northern Sierra,california,ramu,larva,2,summer,2,10,8,8,9403.2,182147814.4,11754,202611414.857143,3.73087015709285,0.393958943326191,9403.2,182147814.4,9403.2,182147814.4,0.224448241622362,9406.03717695928,185.297854518928,9403.2,152410.146977807,,,,,,,,,,,,,,,,,,,,0.567572741194487,0.0881684843190303,0.168234610538145,0.0831462682645981,1.21100592576833,sierra_nevada,0.8,"enzootic
(Northern Sierra)",70278
70335,Northern Sierra,california,ramu,larva,2,summer,2,20,6,6,8464.8,447226838.905263,28216,1030702156.8,3.93074118668944,0.858905813894958,8464.8,447226838.905263,8464.8,447226838.905263,0.0311215615169276,8459.58046945923,167.484968087565,8464.8,611888.490764225,,,,,,,,,,,,,,,,,,,,0.559351668084302,0.119019735400435,0.23577530856255,0.0560711457563882,1.13781366623354,sierra_nevada,0.3,"enzootic
(Northern Sierra)",70335
71465,Northern Sierra,california,ramu,larva,2,summer,2,10,7,7,40353.6,2253958681.6,57648,2217785856,4.51432798663257,0.386079561083743,40353.6,2253958681.6,40353.6,2253958681.6,0.138676024799008,40346.2001594763,193.757053968413,40353.6,557067.749726557,,,,,,,,,,,,,,,,,,,,0.420805791092457,0.0678097527409138,0.137640200328571,-0.0878244400683586,0.816912534717893,sierra_nevada,0.7,"enzootic
(Northern Sierra)",71465
72463,Northern Sierra,california,ramu,larva,2,summer,2,10,10,10,14227.2,253896806.4,14227.2,253896806.4,3.97696103757309,0.160958059170641,14227.2,253896806.4,14227.2,253896806.4,1.37465172083795,14220.2110647537,214.68834817589,14227.1999999964,117232.426880997,215.741892829108,0.885807036287322,6.22615157084544e-05,212.885523923354,9.15729120053393,0.876381712956621,215.064160471635,1.10851874073046,14879.8580626372,213.258218086596,7.02878992352677e-05,0.804424145454091,0.961642157391496,0,0.999999999999993,0.4576,0.181616126846219,0.638121803885035,0.256906061876649,0.46774628879892,0.0527839452541633,0.100879989215633,0.0492091824196387,1.11997720215142,sierra_nevada,1,"enzootic
(Northern Sierra)",72463
10222,Southern Sierra,california,ramu,subadult,2,summer,2,12,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",10222
10263,Southern Sierra,california,ramu,subadult,2,summer,2,29,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",10263
10599,Southern Sierra,california,ramu,subadult,2,summer,2,10,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",10599
11009,Southern Sierra,california,ramu,subadult,2,summer,2,19,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",11009
11029,Southern Sierra,california,ramu,subadult,2,summer,2,20,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sierra_nevada,0,"invasion
(Southern Sierra)",11029
