site_id,year,capture_life_stage,bd_present,num_infected,num_samps,adult_abundance,prev,mean_bd,poulin_D
10102,2007,subadult,1,1,6,191,0.166666666666667,1.98227123303957,0
10102,2007,adult,1,1,6,191,0.166666666666667,2.28330122870355,0
10102,2008,adult,0,0,10,-1,0,-1,-1
10102,2009,subadult,0,0,3,2314,0,-1,-1
10102,2009,adult,0,0,7,2314,0,-1,-1
10102,2011,adult,1,1,10,1775,0.1,1.68124123737559,0
10102,2011,subadult,0,0,10,1775,0,-1,-1
10102,2012,adult,1,14,63,1916,0.222222222222222,2.50468186356552,0.594155844155844
10102,2012,subadult,1,6,12,1916,0.5,2.49159646726109,0.339506172839506
10102,2013,adult,0,0,28,-1,0,-1,-1
10102,2013,subadult,0,0,7,-1,0,-1,-1
10102,2014,adult,0,0,20,-1,0,-1,-1
10102,2015,adult,1,93,94,332,0.98936170212766,6.17232574682991,0.513482417951648
10102,2015,subadult,1,2,2,332,1,6.47996109967272,0.284142409636978
10102,2016,adult,1,142,154,27,0.922077922077922,4.1909511607392,0.88973568749177
10102,2016,subadult,1,7,7,27,1,7.19012257226089,0.539234623335382
10102,2017,adult,1,24,24,4,1,3.69207996685741,0.717550621662295
10102,2018,adult,1,3,3,1,1,4.37286942538789,0.448381296883373
10103,2008,adult,0,0,7,-1,0,-1,-1
10103,2008,subadult,0,0,3,-1,0,-1,-1
10103,2012,adult,0,0,7,41,0,-1,-1
10103,2013,subadult,0,0,3,-1,0,-1,-1
10103,2013,adult,0,0,16,-1,0,-1,-1
10103,2014,adult,0,0,10,-1,0,-1,-1
10103,2015,adult,1,3,3,-1,1,6.77334906883618,0.395603483875104
10103,2015,subadult,1,4,4,-1,1,6.61360645327939,0.461015937449815
10193,2011,adult,0,0,1,1,0,-1,-1
10196,2005,"",-1,0,0,1,-1,-1,-1
10196,2006,"",-1,0,0,5,-1,-1,-1
10196,2007,subadult,1,1,5,18,0.2,2.63548374681491,0
10196,2009,adult,0,0,4,703,0,-1,-1
10196,2009,subadult,0,0,1,703,0,-1,-1
10196,2010,adult,0,0,8,130,0,-1,-1
10196,2010,subadult,1,6,11,130,0.545454545454545,1.9274281131622,0.5
10196,2011,adult,0,0,15,529,0,-1,-1
10196,2011,subadult,0,0,9,529,0,-1,-1
10196,2012,adult,0,0,14,501,0,-1,-1
10196,2012,subadult,0,0,3,501,0,-1,-1
10196,2013,adult,0,0,30,-1,0,-1,-1
10196,2013,subadult,0,0,6,-1,0,-1,-1
10196,2014,adult,0,0,13,-1,0,-1,-1
10196,2014,subadult,0,0,4,-1,0,-1,-1
10196,2016,adult,1,9,23,156,0.391304347826087,2.82466016153519,0.569600213483865
10196,2016,subadult,0,0,1,156,0,-1,-1
10197,2005,"",-1,0,0,1,-1,-1,-1
10197,2006,"",-1,0,0,2,-1,-1,-1
10197,2007,subadult,1,1,13,1,0.0769230769230769,1.68124123737559,0
10197,2007,adult,0,0,1,1,0,-1,-1
10197,2010,adult,1,1,2,2,0.5,2.15836249209525,0
10197,2011,subadult,1,1,13,1,0.0769230769230769,1.98227123303957,0
10197,2011,adult,0,0,1,1,0,-1,-1
10197,2013,subadult,0,0,6,-1,0,-1,-1
10197,2013,adult,0,0,1,-1,0,-1,-1
10197,2016,subadult,1,2,14,0,0.142857142857143,3.24663609075071,0.237229540025981
10198,2007,adult,0,0,1,12,0,-1,-1
10198,2007,subadult,0,0,3,12,0,-1,-1
10198,2009,adult,0,0,1,232,0,-1,-1
10198,2009,subadult,0,0,5,232,0,-1,-1
10198,2010,subadult,1,2,5,56,0.4,1.68124123737559,0
10198,2010,adult,1,2,3,56,0.666666666666667,1.68124123737559,0
10198,2011,subadult,0,0,2,121,0,-1,-1
10198,2011,adult,1,2,17,121,0.117647058823529,1.68124123737559,0
10198,2012,adult,0,0,8,50,0,-1,-1
10198,2012,subadult,0,0,1,50,0,-1,-1
10198,2013,adult,0,0,10,-1,0,-1,-1
10198,2013,subadult,1,1,4,-1,0.25,1.68124123737559,0
10198,2014,adult,0,0,7,-1,0,-1,-1
10198,2014,subadult,0,0,3,-1,0,-1,-1
10198,2016,adult,1,4,20,55,0.2,2.63516833971351,0.334528208083342
10199,2007,"",-1,0,0,3,-1,-1,-1
10199,2009,adult,0,0,1,13,0,-1,-1
10199,2010,subadult,0,0,1,9,0,-1,-1
10199,2010,adult,0,0,2,9,0,-1,-1
10199,2011,adult,0,0,1,33,0,-1,-1
10199,2012,adult,0,0,2,9,0,-1,-1
10199,2013,subadult,0,0,1,-1,0,-1,-1
10199,2014,adult,0,0,6,-1,0,-1,-1
10199,2016,adult,1,2,13,23,0.153846153846154,3.01490825409978,0.103841995024537
10199,2016,subadult,0,0,3,23,0,-1,-1
10200,2007,adult,0,0,1,2,0,-1,-1
10200,2009,"",-1,0,0,0,-1,-1,-1
10200,2010,"",-1,0,0,1,-1,-1,-1
10200,2011,adult,0,0,2,2,0,-1,-1
10200,2011,subadult,0,0,1,2,0,-1,-1
10200,2012,"",-1,0,0,1,-1,-1,-1
10201,2005,adult,0,0,20,245,0,-1,-1
10201,2006,subadult,0,0,6,228,0,-1,-1
10201,2006,adult,1,3,9,228,0.333333333333333,2.16362724782299,0.303030303030303
10201,2007,adult,0,0,8,273,0,-1,-1
10201,2007,subadult,0,0,2,273,0,-1,-1
10201,2009,adult,0,0,4,535,0,-1,-1
10201,2009,subadult,0,0,6,535,0,-1,-1
10201,2010,subadult,1,4,4,5,1,5.71278345247602,0.29211110898332
10201,2010,adult,1,5,5,5,1,5.26094936272755,0.704337905744941
10202,2005,"",-1,0,0,7,-1,-1,-1
10202,2006,adult,1,1,2,5,0.5,2.58433122436753,0
10202,2006,subadult,1,1,1,5,1,2.79518458968242,0
10202,2007,adult,0,0,1,11,0,-1,-1
10202,2007,subadult,1,1,5,11,0.2,2.93651374247889,0
10202,2009,subadult,1,4,6,0,0.666666666666667,4.21982965841409,0.649939203566724
10202,2011,subadult,1,1,1,0,1,5.33829709023269,0
10206,2005,subadult,1,6,9,343,0.666666666666667,2.99837934351052,0.467551622418879
10206,2005,adult,1,9,16,343,0.5625,3.09788162206445,0.324731182795699
10206,2006,subadult,0,0,7,105,0,-1,-1
10206,2006,adult,1,1,13,105,0.0769230769230769,2.52633927738984,0
10206,2007,adult,1,19,20,333,0.95,6.12027244063747,0.382772196401337
10206,2008,adult,1,3,6,10,0.5,2.787818068819,0.561056105610561
10206,2009,adult,1,4,6,7,0.666666666666667,2.41536967299531,0.283333333333333
10206,2010,subadult,1,4,4,8,1,5.20498735262372,0.282410488486623
10206,2010,adult,1,2,3,8,0.666666666666667,3.49348541863231,0.491525423728814
10206,2016,"",-1,0,0,0,-1,-1,-1
10206,2018,subadult,1,6,6,0,1,6.05728733020236,0.542722224142507
10210,2005,"",-1,0,0,4,-1,-1,-1
10210,2006,"",-1,0,0,5,-1,-1,-1
10210,2007,adult,1,1,1,8,1,1.98227123303957,0
10210,2008,adult,0,0,5,15,0,-1,-1
10210,2009,adult,1,1,1,3,1,5.56569673344608,0
10211,2005,"",-1,0,0,23,-1,-1,-1
10211,2006,"",-1,0,0,10,-1,-1,-1
10211,2007,adult,0,0,3,13,0,-1,-1
10211,2007,subadult,1,1,1,13,1,1.98227123303957,0
10211,2008,"",-1,0,0,2,-1,-1,-1
10211,2009,adult,1,1,2,3,0.5,3.71866773531621,0
10211,2012,"",-1,0,0,1,-1,-1,-1
10212,2005,"",-1,0,0,6,-1,-1,-1
10212,2006,"",-1,0,0,1,-1,-1,-1
10212,2007,"",-1,0,0,2,-1,-1,-1
10212,2008,adult,0,0,3,5,0,-1,-1
10212,2009,adult,1,2,2,2,1,3.03502632542456,0.498043052837573
10212,2009,subadult,1,1,1,2,1,6.11493108336729,0
10213,2005,"",-1,0,0,9,-1,-1,-1
10213,2006,adult,0,0,6,9,0,-1,-1
10213,2007,adult,1,1,4,11,0.25,2.38021124171161,0
10213,2008,adult,0,0,4,2,0,-1,-1
10213,2009,adult,1,4,4,4,1,5.60103424403443,0.354591409928536
10214,2005,"",-1,0,0,4,-1,-1,-1
10214,2006,"",-1,0,0,0,-1,-1,-1
10214,2008,adult,0,0,2,4,0,-1,-1
10214,2008,subadult,0,0,1,4,0,-1,-1
10214,2009,adult,0,0,1,2,0,-1,-1
10215,2005,"",-1,0,0,3,-1,-1,-1
10215,2006,"",-1,0,0,3,-1,-1,-1
10215,2007,"",-1,0,0,4,-1,-1,-1
